uid,C1,C2,C3,C4,C5,C6,C7,C8,CBD,E1,E2,E3,E4,N1,NE1,NE2,NE3,W1,W2,W3
40179,0,0.1111111111111111,0,0,0,0.4444444444444444,0,0,0.3333333333333333,0,0.1111111111111111,0,0,0,0,0,0,0,0,0
40225,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41593,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46175,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
46456,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46527,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46572,0,0,0,0,0,0.2,0,0,0.6,0,0,0.2,0,0,0,0,0,0,0,0
47424,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
48838,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
48955,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50104,0,0,0,0,0.2857142857142857,0.2857142857142857,0.14285714285714285,0,0.2857142857142857,0,0,0,0,0,0,0,0,0,0,0
50252,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0
50372,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51196,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
52537,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52844,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52889,0.14285714285714285,0,0.2857142857142857,0.14285714285714285,0,0,0,0.14285714285714285,0.2857142857142857,0,0,0,0,0,0,0,0,0,0,0
56326,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56481,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56637,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57563,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58112,0,0,0,0.5882352941176471,0.058823529411764705,0.17647058823529413,0.058823529411764705,0,0.058823529411764705,0,0,0.058823529411764705,0,0,0,0,0,0,0,0
58749,0,0,0,0,0.25,0,0.25,0,0.5,0,0,0,0,0,0,0,0,0,0,0
59364,0,0,0,0,0,0.75,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0
59441,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0
59805,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60942,0,0,0,0,0,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.5,0,0.07142857142857142,0,0,0,0,0,0,0,0,0
61090,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
61645,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
61761,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62857,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64169,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64818,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65135,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66850,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
69731,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
69743,0.5,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0
70936,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0
71257,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
71283,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71305,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
71524,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71617,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0
71668,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71684,0,0.3333333333333333,0,0.3333333333333333,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0
71824,0.125,0,0,0,0,0,0.125,0,0,0,0,0.125,0.625,0,0,0,0,0,0,0
72066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
72082,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
73316,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74303,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
74387,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
