X,Y,OBJECTID,STN_NAME,STN_NO
103.871900625707,1.3215058380176,98,GEYLANG BAHRU MRT STATION,DT24
103.862977987475,1.31367223254449,99,BENDEMEER MRT STATION,DT23
103.850384254917,1.29886427041736,100,BENCOOLEN MRT STATION,DT21
103.821443069088,1.26547263986209,101,HARBOURFRONT MRT STATION,NE1
103.821443069088,1.26547263986209,101,HARBOURFRONT MRT STATION,CC29
103.860852988257,1.29289155209217,102,PROMENADE MRT STATION,DT15
103.856868333096,1.29955074570939,103,BUGIS MRT STATION,DT14
103.784631426793,1.2934626331445,104,KENT RIDGE MRT STATION,CC24
103.889350590109,1.32607688292254,105,MACPHERSON MRT STATION,DT26
103.902072638407,1.40454672778795,106,PUNGGOL MRT STATION,NE17
103.845864229348,1.27652124669304,107,TANJONG PAGAR MRT STATION,EW15
103.787457507831,1.29975987859198,108,ONE-NORTH MRT STATION,CC23
103.849154419022,1.3513086801159,109,BISHAN MRT STATION,CC15
103.875350335179,1.30284062963322,110,STADIUM MRT STATION,CC6
103.855706414017,1.30046507631525,111,BUGIS MRT STATION,EW12
103.839075162344,1.30026005506544,112,SOMERSET MRT STATION,NS23
103.832241452068,1.30398101243687,113,ORCHARD MRT STATION,NS22
103.85547701634,1.30540364222325,114,JALAN BESAR MRT STATION,DT22
103.859079765133,1.28187378849153,115,BAYFRONT MRT STATION,CE1
103.859079765133,1.28187378849153,115,BAYFRONT MRT STATION,DT16
103.895484694161,1.39169462609898,116,SENGKANG MRT STATION,NE16
103.830689550137,1.33372888232144,117,BUKIT BROWN MRT STATION,CC18
103.88252808081,1.30620190483123,118,MOUNTBATTEN MRT STATION,CC7
103.885064856336,1.36017917117915,119,KOVAN MRT STATION,NE13
103.84432826961,1.29247892791748,120,FORT CANNING MRT STATION,DT20
103.807586105747,1.31751061189576,121,FARRER ROAD MRT STATION,CC20
103.962375707447,1.33538213733355,122,EXPO MRT STATION,DT35
103.85284044404,1.27944619037872,123,DOWNTOWN MRT STATION,DT17
103.790653410051,1.30649166910778,124,BUONA VISTA MRT STATION,CC22
103.855504105527,1.29332160761123,125,ESPLANADE MRT STATION,CC3
103.863637018496,1.29976683526798,126,NICOLL HIGHWAY MRT STATION,CC5
103.839529820764,1.33767450804434,127,CALDECOTT MRT STATION,CC17
103.854597777544,1.2764273547506,128,MARINA BAY MRT STATION,NS27
103.855093982222,1.27615063661698,129,MARINA BAY MRT STATION,CE2
103.80293962042,1.27233273159647,130,LABRADOR PARK MRT STATION,CC27
103.843426775944,1.28435957823298,131,CHINATOWN MRT STATION,NE4
103.844451200717,1.28474896906149,132,CHINATOWN MRT STATION,DT19
103.837810994124,1.31360710219368,133,NEWTON MRT STATION,DT11
103.807322207612,1.32588320892244,134,TAN KAH KEE MRT STATION,DT8
103.827019430924,1.28619339285898,135,TIONG BAHRU MRT STATION,EW17
103.767418254457,1.36234486852786,136,HILLVIEW MRT STATION,DT3
103.783806658874,1.33566512075976,137,KING ALBERT PARK MRT STATION,DT6
103.88324750918,1.32687671471261,138,MATTAR MRT STATION,DT25
103.899252524977,1.32995682570384,139,UBI MRT STATION,DT27
103.775794285295,1.34122317571135,140,BEAUTY WORLD MRT STATION,DT5
103.908459734465,1.33496730156428,141,KAKI BUKIT MRT STATION,DT28
103.943060497461,1.35507742899599,142,TAMPINES MRT STATION,DT32
103.917978329774,1.3347421167584,143,BEDOK NORTH MRT STATION,DT29
103.846115154677,1.29870130662953,144,DHOBY GHAUT MRT STATION,NS24
103.872368089501,1.35059525644333,145,SERANGOON MRT STATION,CC13
103.870818309375,1.33919004552515,146,WOODLEIGH MRT STATION,NE11
103.843825618816,1.3204407908479,147,NOVENA MRT STATION,NS20
103.873574846859,1.34970787537926,148,SERANGOON MRT STATION,NE12
103.932234623625,1.33660782981049,149,BEDOK RESERVOIR MRT STATION,DT30
103.862859769638,1.27133671132917,150,MARINA SOUTH PIER MRT STATION,NS28
103.854177141532,1.31235984021213,151,FARRER PARK MRT STATION,NE8
103.892178845467,1.31743026797678,152,PAYA LEBAR MRT STATION,CC9
103.879758906228,1.34282833773758,153,BARTLEY MRT STATION,CC12
103.888662603932,1.30838263926699,154,DAKOTA MRT STATION,CC8
103.791350313155,1.27621352268533,155,PASIR PANJANG MRT STATION,CC26
103.839574741219,1.27976454318272,156,OUTRAM PARK MRT STATION,NE3
103.846555209295,1.28838602420114,157,CLARKE QUAY MRT STATION,NE5
103.848143964475,1.35083898769384,158,BISHAN MRT STATION,NS17
103.816131653137,1.32242397869973,159,BOTANIC GARDENS MRT STATION,DT9
103.83942313257,1.34870726301822,160,MARYMOUNT MRT STATION,CC16
103.781810451321,1.2825421566429,161,HAW PAR VILLA MRT STATION,CC25
103.864151938048,1.35161217102563,162,LORONG CHUAN MRT STATION,CC14
103.862829208107,1.30735702009556,163,LAVENDER MRT STATION,EW11
103.845488184752,1.29970545852314,164,DHOBY GHAUT MRT STATION,NE6
103.846239112308,1.29884281647594,165,DHOBY GHAUT MRT STATION,CC1
103.888194861153,1.33543332222291,166,TAI SENG MRT STATION,CC11
103.852421680705,1.30391648396458,167,ROCHOR MRT STATION,DT13
103.848584625382,1.3071982229111,168,LITTLE INDIA MRT STATION,DT12
103.849646966573,1.30680002531233,169,LITTLE INDIA MRT STATION,NE7
103.826024402244,1.32006555700673,170,STEVENS MRT STATION,DT10
103.761535114733,1.37900211671767,171,BUKIT PANJANG MRT STATION,DT1
103.764694422311,1.36936983106434,172,CASHEW MRT STATION,DT2
103.797246316661,1.33078638736398,173,SIXTH AVENUE MRT STATION,DT7
103.847501764341,1.3326289871232,174,TOA PAYOH MRT STATION,NS19
103.793850892438,1.42725997871124,175,WOODLANDS SOUTH MRT STATION,TE3
103.869055665273,1.33137952461929,176,POTONG PASIR MRT STATION,NE10
103.892380518912,1.37129229167853,177,HOUGANG MRT STATION,NE14
103.86168650187,1.31939570602305,178,BOON KENG MRT STATION,NE9
103.961471788679,1.34173748389319,179,UPPER CHANGI MRT STATION,DT34
103.988364658506,1.35731454533098,180,CHANGI AIRPORT MRT STATION,CG2
103.787930807059,1.43606698129287,181,WOODLANDS MRT STATION,TE2
